state,E_ex,osc,nm
1,2.6687,0.0007,464.5864766
2,2.8346,0.0103,437.3957278
3,2.8544,0.0295,434.3616627
4,3.0073,0.0104,412.2774349
5,3.1467,0.0256,394.0133886
6,3.1809,0.025,389.7770851
7,3.4039,0.0014,364.2415847
8,3.6218,0.0023,342.3275526
9,3.6956,0.0037,335.4913762
10,3.7629,0.0024,329.4910654
11,3.7979,0.0036,326.4546012
12,3.9264,0.0063,315.7706627
13,3.935,0.0019,315.0805413
14,4.0594,0.0129,305.4249224
15,4.1226,0.0047,300.7427182
16,4.1832,0.0014,296.3860035
17,4.245,0.001,292.071126
18,4.3473,0.0061,285.1981529
19,4.5248,0.0031,274.0103275
20,4.5823,0.0013,270.5719682
21,4.6581,0.0016,266.1690239
22,4.7048,0.0001,263.5270213
23,4.7747,0.0088,259.6690745
24,4.787,0.0057,259.0018655
25,4.8405,0.0008,256.1392274
26,4.8501,0.0082,255.6322406
27,4.9498,0.0045,250.4832377
28,5.0458,0.0004,245.7176127
29,5.0796,0.0022,244.0825911
30,5.1052,0.004,242.8586402
31,5.1125,0.0016,242.5118689
32,5.1999,0,238.4357257
33,5.2447,0.0189,236.3990181
34,5.2462,0.0217,236.3314266
35,5.2625,0.0007,235.5994166
36,5.3068,0.0009,233.6326845
37,5.3096,0.0351,233.5094791
38,5.3196,0.0052,233.0705185
39,5.3636,0.0012,231.1585372
40,5.4092,0.0002,229.2098517
41,5.4286,0.0097,228.3907324
42,5.4522,0.0032,227.4021368
43,5.467,0.0096,226.7865246
44,5.4946,0.0223,225.6473501
45,5.5081,0.0018,225.0943029
46,5.5682,0.0003,222.6647624
47,5.5764,0.0148,222.3373377
48,5.634,0.0114,220.0642403
49,5.673,0.001,218.5513714
50,5.7009,0.0105,217.4817888
51,5.7206,0.0009,216.732848
52,5.7213,0,216.7063307
53,5.7512,0.0005,215.5796929
54,5.7588,0,215.2951882
55,5.7597,0,215.2615466
56,5.7721,0.0009,214.7991078
57,5.7848,0,214.327536
58,5.7916,0.0476,214.0758909
59,5.8072,0.0182,213.5008145
60,5.8282,0.0049,212.7315346
61,5.8345,0.0093,212.5018305
62,5.8459,0.0107,212.0874339
63,5.8643,0.068,211.4219822
64,5.9037,0.0063,210.0109982
65,5.9188,0,209.4752196
66,5.9286,0.0009,209.1289562
67,5.9344,0,208.9245636
68,5.9354,0.0066,208.8893638
69,5.9526,0.0103,208.2857793
70,5.9662,0.0116,207.8109902
71,5.9716,0.01,207.6230709
72,5.9904,0.0023,206.971476
73,6.0132,0.0361,206.1867109
74,6.0271,0.0003,205.7111928
75,6.0355,0.0006,205.4248911
76,6.0461,0.015,205.0647409
77,6.0537,0.0158,204.8072964
78,6.068,0.0052,204.3246424
79,6.071,0.0026,204.2236748
80,6.0718,0.0808,204.196767
81,6.0776,0.0133,204.0018971
82,6.0975,0.0524,203.3361099
83,6.112,0.041,202.8537189
84,6.1264,0.0001,202.3769147
85,6.1488,0.0044,201.6396581
86,6.1685,0.0037,200.9956926
87,6.1699,0.0212,200.9500851
88,6.1801,0.0217,200.6184253
89,6.1841,0.009,200.4886612
90,6.2008,0.0032,199.948705
91,6.2089,0.0115,199.6878561
92,6.2112,0.0321,199.613912
93,6.2353,0.018,198.8423861
94,6.2407,0.0017,198.6703303
95,6.2493,0.0059,198.3969293
96,6.2526,0.001,198.2922192
97,6.255,0.0163,198.2161359
98,6.2605,0.0083,198.0419982
99,6.2696,0.0109,197.7545505
100,6.2774,0.0164,197.5088301
