state,E_ex,osc,nm
1,2.1309,0.0359,581.8395654
2,2.2076,0.0542,561.6243568
3,2.2631,0.0005,547.8511467
4,2.2828,0.047,543.1233266
5,2.29,0.0551,541.41569
6,2.6018,0.0123,476.5323737
7,3.0169,0.0031,410.9655375
8,3.0299,0.0051,409.2022608
9,3.3145,0.0089,374.0660522
10,3.3974,0.0012,364.9384618
11,3.426,0.0024,361.8919819
12,3.4676,0.0024,357.550447
13,3.5589,0.0042,348.3778499
14,3.5674,0.007,347.5477743
15,3.6342,0.0286,341.1595207
16,3.704,0.0037,334.7305427
17,3.7218,0.0055,333.1296496
18,3.7868,0.0262,327.4115163
19,3.8558,0.0231,321.5524483
20,3.9067,0.0046,317.3629739
21,4.0026,0.0095,309.7591391
22,4.0402,0.0203,306.8763749
23,4.07,0.0048,304.6294668
24,4.0893,0.0245,303.1917272
25,4.0934,0.0408,302.8880466
26,4.1286,0.0077,300.3056557
27,4.1539,0.0047,298.4765955
28,4.1654,0.0013,297.6525496
29,4.2249,0.016,293.4606571
30,4.2418,0.0365,292.2914635
31,4.2429,0.4207,292.215685
32,4.2946,0.0123,288.6978834
33,4.3201,0.0298,286.9938034
34,4.3321,0.0405,286.1988251
35,4.3658,0.06,283.9896308
36,4.4076,0.0108,281.2963813
37,4.4499,0.0194,278.6224252
38,4.4843,0.0126,276.4850545
39,4.5154,0.0136,274.5807525
40,4.5408,0.0027,273.0448225
41,4.5445,0.0044,272.8225173
42,4.5471,0.0042,272.6665193
43,4.58,0.0057,270.707845
44,4.5897,0.0071,270.1357235
45,4.6157,0.0094,268.6140629
46,4.6374,0.0168,267.3571247
47,4.6728,0.0068,265.3316919
48,4.686,0.0112,264.5842787
49,4.7166,0.0008,262.8677289
50,4.7357,0.0131,261.8075321
51,4.758,0.0505,260.5804813
52,4.7867,0.0355,259.0180981
53,4.8447,0.0008,255.9171734
54,4.8493,0.0001,255.6744128
55,4.8627,0.0006,254.9698583
56,4.8899,0.0843,253.5515921
57,4.9403,0.035,250.964907
58,4.9521,0.0011,250.3669009
59,4.9734,0.0035,249.2946334
60,4.9862,0.0002,248.6546729
61,4.9964,0.0019,248.1470519
62,5.0091,0.0048,247.5179034
63,5.0358,0.0171,246.2055542
64,5.0629,0.0011,244.8876987
65,5.0657,0.0002,244.7523402
66,5.0809,0.0048,244.0201401
67,5.0869,0.0241,243.7323183
68,5.1028,0.101,242.9728639
69,5.1149,0.0026,242.3980782
70,5.1445,0.0027,241.0033881
71,5.154,0.011,240.5591638
72,5.1672,0.0453,239.9446373
73,5.1792,0.0241,239.3886952
74,5.1992,0.0007,238.4678277
75,5.2083,0.0066,238.0511741
76,5.2178,0.0366,237.6177565
77,5.2238,0.0551,237.3448313
78,5.2332,0.0275,236.9185068
79,5.2523,0.0038,236.0569522
80,5.2693,0.0006,235.295377
81,5.2762,0.0195,234.9876673
82,5.3046,0.0179,233.72958
83,5.3159,0.0164,233.2327414
84,5.3286,0.0634,232.6768626
85,5.3327,0.0855,232.497971
86,5.3402,0.0031,232.1714411
87,5.3529,0.0855,231.6206038
88,5.3666,0.1059,231.0293165
89,5.3799,0.0099,230.4581739
90,5.3968,0.0545,229.7364976
91,5.3999,0.1922,229.6046093
92,5.4118,0.2959,229.0997321
93,5.4209,0.1396,228.7151451
94,5.432,0.0042,228.247778
95,5.4387,0.0647,227.9665968
96,5.4635,0.0754,226.9318074
97,5.4822,0.0957,226.1577341
98,5.4889,0.0284,225.8816757
99,5.4999,0.0908,225.4299042
100,5.503,0.1437,225.302913
